Drug,Class_ID,Classification
"atorvastatin, acetylsalicylic acid and ramipril",C10BX06,Lipid modifying agents
urokinase,B01AD04,Antithrombotic agents
Retinoids for treatment of psoriasis,D05BB,Antipsoriatics
multienzymes and acid preparations,A09AC02,Digestives
pindolol,C07AA03,Beta blocking agents
tridihexethyl,A03AB08,Drugs for functional gastrointestinal disorders
tioconazole,D01AC07,Antifungals for dermatological use
Barium sulfate containing X-ray contrast media,V08BA,Contrast media
valaciclovir,J05AB11,Antivirals for systemic use
choline fenofibrate,C10AB11,Lipid modifying agents
g-strophanthin,C01AC01,Cardiac therapy
DIAGNOSTIC AGENTS,V04,Diagnostic agents
"dipyrocetyl, combinations with psycholeptics",N02BA79,Analgesics
"reserpine and diuretics, combinations with psycholeptics",C02LA71,Antihypertensives
"esomeprazole, amoxicillin and clarithromycin",A02BD06,Drugs for acid related disorders
methohexital,N05CA15,Psycholeptics
formestane,L02BG02,Endocrine therapy
"phenylpropanolamine, combinations",R01BA51,Nasal preparations
maribavir,J05AX10,Antivirals for systemic use
"estradiol, combinations",G03CA53,Sex hormones and modulators of the genital system
salbutamol,R03AC02,Drugs for obstructive airway diseases
anthrax immunoglobulin,J06BB19,Immune sera and immunoglobulins
bevantolol and thiazides,C07BB06,Beta blocking agents
ethyl hydroxybenzoate,D01AE10,Antifungals for dermatological use
"Tertiary amines, anticholinergic",N04AA,Anti-parkinson drugs
Low-ceiling diuretics and potassium-sparing agents,C03EA,Diuretics
temafloxacin,J01MA05,Antibacterials for systemic use
nitrofural,S01AX04,Ophthalmologicals
diphenhydramine,R06AA02,Antihistamines for systemic use
dofetilide,C01BD04,Cardiac therapy
Solutions producing osmotic diuresis,B05BC,Blood substitutes and perfusion solutions
aurothioglucose,M01CB04,Anti-inflammatory and antirheumatic products
cholic acid,A05AA03,Bile and liver therapy
"glycobiarsol, combinations",P01AR53,Antiprotozoals
tacrine,N06DA01,Psychoanaleptics
epinephrine,A01AD01,Stomatological preparations
ethambutol,J04AK02,Antimycobacterials
lonazolac,M01AB09,Anti-inflammatory and antirheumatic products
norgestrel and estrogen,G03FB01,Sex hormones and modulators of the genital system
Antacids with sodium bicarbonate,A02AH,Drugs for acid related disorders
levodropropizine,R05DB27,Cough and cold preparations
cloxazolam,N05BA22,Psycholeptics
blinatumomab,L01XC19,Antineoplastic agents
OTHER COLD PREPARATIONS in ATC,R05X,Cough and cold preparations
vorozole,L02BG05,Endocrine therapy
ANABOLIC STEROIDS,A14A,Anabolic agents for systemic use
"Nicotinic acid and derivatives, lipid modifying, plain",C10AD,Lipid modifying agents
sodium borate,S01AX07,Ophthalmologicals
dexetimide,N04AA08,Anti-parkinson drugs
mitoguazone,L01XX16,Antineoplastic agents
estradiol,G03CA03,Sex hormones and modulators of the genital system
methyltestosterone and estrogen,G03EA01,Sex hormones and modulators of the genital system
altretamine,L01XX03,Antineoplastic agents
niclosamide,P02DA01,Anthelmintics
Machine Activity,T066,NA
bedaquiline,J04AK05,Antimycobacterials
Tumor necrosis factor alpha (TNF-) inhibitors,L04AB,Immunosuppressants
eszopiclone,N05CF04,Psycholeptics
Sign or Symptom,T184,NA
"LIPID MODIFYING AGENTS, PLAIN",C10A,Lipid modifying agents
Calcium channel blockers and diuretics,C08GA,Calcium channel blockers
Corticosteroids,S02BA,Otologicals
amino(diphenylhydantoin) valeric acid,N03AB03,Antiepileptics
idoxuridine,D06BB01,Antibiotics and chemotherapeutics for dermatological use
droperidol,N05AD08,Psycholeptics
"Vitamin B1, plain",A11DA,Vitamins
lormetazepam,N05CD06,Psycholeptics
propenidazole,G01AF14,Gynecological antiinfectives and antiseptics
fusidic acid,J01XC01,Antibacterials for systemic use
Chemical,T103,NA
propamidine,D08AC03,Antiseptics and disinfectants
sulfamethoxazole and trimethoprim,J01EE01,Antibacterials for systemic use
picodralazine and diuretics,C02LG03,Antihypertensives
megestrol and estrogen,G03FB04,Sex hormones and modulators of the genital system
calcium hexamine thiocyanate,R01AX01,Nasal preparations
thiamphenicol,J01BA02,Antibacterials for systemic use
methylpentynol,N05CM15,Psycholeptics
ulipristal,G03XB02,Sex hormones and modulators of the genital system
ephedrine,S01FB02,Ophthalmologicals
"varicella, live attenuated",J07BK01,Vaccines
"Opium alkaloids and derivatives, cough suppressants",R05DA,Cough and cold preparations
oxiconazole,G01AF17,Gynecological antiinfectives and antiseptics
bromocriptine,G02CB01,Other gynecologicals
dexmedetomidine,N05CM18,Psycholeptics
"Imidazole derivatives, antimycotic for systemic use",J02AB,Antimycotics for systemic use
cefotaxime,J01DD01,Antibacterials for systemic use
furazolidone,G01AX06,Gynecological antiinfectives and antiseptics
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,M09A,Other drugs for disorders of the musculo-skeletal system
chlorotrianisene,G03CA06,Sex hormones and modulators of the genital system
etifoxine,N05BX03,Psycholeptics
insulin (pork),A10AC03,Drugs used in diabetes
ixazomib,L01XX50,Antineoplastic agents
ibalizumab,J05AX23,Antivirals for systemic use
OTHER CARDIAC PREPARATIONS in ATC,C01E,Cardiac therapy
calcium aminosalicylate,J04AA03,Antimycobacterials
norethisterone and ethinylestradiol,G03AB04,Sex hormones and modulators of the genital system
palivizumab,J06BB16,Immune sera and immunoglobulins
apixaban,B01AF02,Antithrombotic agents
calcium iopodate,V08AC10,Contrast media
calcium chloride,B05XA07,Blood substitutes and perfusion solutions
atorvastatin and amlodipine,C10BX03,Lipid modifying agents
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,NA
streptokinase,B01AD01,Antithrombotic agents
"troxerutin, combinations",C05CA54,Vasoprotectives
sulfamethizole,B05CA04,Blood substitutes and perfusion solutions
dienogest and ethinylestradiol,G03AA16,Sex hormones and modulators of the genital system
desloratadine,R06AX27,Antihistamines for systemic use
aminolevulinic acid,L01XD04,Antineoplastic agents
paclitaxel,L01CD01,Antineoplastic agents
prednisolone,R01AD02,Nasal preparations
Peroxide anti-acne preparations for topical use,D10AE,Anti-acne preparations
dexpanthenol,S01XA12,Ophthalmologicals
dibromotyrosine,H03BX02,Thyroid therapy
darbepoetin alfa,B03XA02,Antianemic preparations
diiodohydroxypropane,D08AG04,Antiseptics and disinfectants
Cell Component,T026,NA
"Preparations with salicylic acid derivatives, topical for joint and muscle pain",M02AC,Topical products for joint and muscular pain
codeine and other non-opioid analgesics,N02AJ09,Analgesics
"Parasympathomimetics, antiglaucoma preparations and miotics",S01EB,Ophthalmologicals
talinolol,C07AB13,Beta blocking agents
"phenothrin, combinations",P03AC53,Ectoparasiticides
insulin (pork),A10AE03,Drugs used in diabetes
thymopentin,L03AX09,Immunostimulants
Glucocorticoid inhalants for obstructive airway disease,R03BA,Drugs for obstructive airway diseases
nimustine,L01AD06,Antineoplastic agents
"papillomavirus (human types 6, 11, 16, 18)",J07BM01,Vaccines
OPHTHALMOLOGICALS,S01,Ophthalmologicals
pegloticase,M04AX02,Antigout preparations
ciprofloxacin and metronidazole,J01RA10,Antibacterials for systemic use
nitrofurantoin,J01XE01,Antibacterials for systemic use
sodium iothalamate (125I),V09CX03,Diagnostic radiopharmaceuticals
benzoctamine,N05BD01,Psycholeptics
dutasteride,G04CB02,Urologicals
aztreonam,J01DF01,Antibacterials for systemic use
sertraline,N06AB06,Psychoanaleptics
afamelanotide,D02BB02,Emollients and protectives
PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03,Preparations for treatment of wounds and ulcers
"streptomycin, combinations",A07AA54,Antidiarrheals
alemtuzumab,L04AA34,Immunosuppressants
diclofenamide,S01EC02,Ophthalmologicals
mesna,R05CB05,Cough and cold preparations
phentolamine,V03AB36,All other therapeutic products
ferrous carbonate,B03AA04,Antianemic preparations
ascorbic acid,S01XA15,Ophthalmologicals
benzylpenicillin,S01AA14,Ophthalmologicals
periciazine,N05AC01,Psycholeptics
Other central nervous system diagnostic radiopharmaceuticals in ATC,V09AX,Diagnostic radiopharmaceuticals
fexapotide,G04CX04,Urologicals
neomycin,J01GB05,Antibacterials for systemic use
benzoxonium chloride,D08AJ05,Antiseptics and disinfectants
Serotonin antagonists and diuretics,C02LN,Antihypertensives
bevonium and analgesics,A03DA03,Drugs for functional gastrointestinal disorders
rosiglitazone,A10BG02,Drugs used in diabetes
vinyl ether,N01AA02,Anesthetics
erythromycin,S01AA17,Ophthalmologicals
domiodol,R05CB08,Cough and cold preparations
fosfestrol,L02AA04,Endocrine therapy
betamethasone and mydriatics,S01BB04,Ophthalmologicals
Other aminoglycosides in ATC,J01GB,Antibacterials for systemic use
oleandomycin,J01FA05,Antibacterials for systemic use
sisomicin,J01GB08,Antibacterials for systemic use
capsaicin,N01BX04,Anesthetics
Mucolytics,R05CB,Cough and cold preparations
gonadorelin,H01CA01,Pituitary and hypothalamic hormones and analogues
guanethidine,C02CC02,Antihypertensives
fenpiverinium,A03AB21,Drugs for functional gastrointestinal disorders
tazarotene,D05AX05,Antipsoriatics
prazosin,C02CA01,Antihypertensives
"folic acid, combinations",B03BB51,Antianemic preparations
butylscopolamine,A03BB01,Drugs for functional gastrointestinal disorders
Plant,T002,NA
migalastat,A16AX14,Other alimentary tract and metabolism products
fat emulsions,B05BA02,Blood substitutes and perfusion solutions
moroxydine,J05AX01,Antivirals for systemic use
corifollitropin alfa,G03GA09,Sex hormones and modulators of the genital system
dextrothyroxine,C10AX01,Lipid modifying agents
"ACE INHIBITORS, COMBINATIONS",C09B,Agents acting on the renin–angiotensin system
Iron in combination with folic acid,B03AD,Antianemic preparations
IMMUNE SERA SYSTEMIC ANTIINFECTIVES,J06A,Immune sera and immunoglobulins
cefprozil,J01DC10,Antibacterials for systemic use
fluocortolone and antiseptics,D07BC03,Corticosteroids
Other antipsoriatics for topical use in ATC,D05AX,Antipsoriatics
technetium (99mTc) pentavalent succimer,V09IA03,Diagnostic radiopharmaceuticals
"Xanthine derivatives, low-ceiling diuretics",C03BD,Diuretics
deferiprone,V03AC02,All other therapeutic products
cyclizine,R06AE03,Antihistamines for systemic use
Other hem products in ATC,B06AB,Other hematological agents
"lactic acid producing organisms, combinations",A07FA51,Antidiarrheals
ALL OTHER NON-THERAPEUTIC PRODUCTS,V07,All other non-therapeutic products
thioctic acid,A16AX01,Other alimentary tract and metabolism products
metoprolol and amlodipine,C07FB13,Beta blocking agents
Conceptual Entity,T077,NA
flumetasone,D07XB01,Corticosteroids
gliquidone,A10BB08,Drugs used in diabetes
Aminosalicylic acid and similar agents,A07EC,Antidiarrheals
dexamethasone,D07AB19,Corticosteroids
flumetasone,D07AB03,Corticosteroids
magnesium pidolate,A12CC08,Mineral supplements
halazepam,N05BA13,Psycholeptics
Tetracyclines,J01AA,Antibacterials for systemic use
rolapitant,A04AD14,Antiemetics and antinauseants
Phenomenon or Process,T067,NA
doxazosin,C02CA04,Antihypertensives
imiglucerase,A16AB02,Other alimentary tract and metabolism products
clofenamide and potassium,C03BB07,Diuretics
interferon,S01AD05,Ophthalmologicals
"hepatitis A, inactivated, whole virus",J07BC02,Vaccines
Other antidiarrheals in ATC,A07XA,Antidiarrheals
cloprednol,H02AB14,Corticosteroids for systemic use
drotaverine,A03AD02,Drugs for functional gastrointestinal disorders
fumagillin,P01AX10,Antiprotozoals
amphotericin B,A07AA07,Antidiarrheals
"ethenzamide, combinations excl. psycholeptics",N02BA57,Analgesics
linaclotide,A06AX04,Drugs for constipation
scopolamine,A04AD01,Antiemetics and antinauseants
amphotericin B,G01AA03,Gynecological antiinfectives and antiseptics
ambenonium,N07AA30,Other nervous system drugs
fluoxetine,N06AB03,Psychoanaleptics
methyldopa (racemic),C02AB02,Antihypertensives
"bismuth preparations, combinations",C05AX02,Vasoprotectives
"calcipotriol, combinations",D05AX52,Antipsoriatics
"Alkaloids, excl. rauwolfia, antihypertensives",C02KA,Antihypertensives
metformin and linagliptin,A10BD11,Drugs used in diabetes
mesuximide,N03AD03,Antiepileptics
cyclopenthiazide,C03AA07,Diuretics
bisacodyl,A06AB02,Drugs for constipation
magnesium (different salts in combination),A12CC30,Mineral supplements
reboxetine,N06AX18,Psychoanaleptics
technetium (99mTc) arcitumomab,V09IA06,Diagnostic radiopharmaceuticals
butriptyline,N06AA15,Psychoanaleptics
metformin and vildagliptin,A10BD08,Drugs used in diabetes
Antibiotics for systemic use,J02AA,Antimycotics for systemic use
clofoctol,J01XX03,Antibacterials for systemic use
glucose,V04CA02,Diagnostic agents
Virus,T005,NA
benzathine benzylpenicillin,J01CE08,Antibacterials for systemic use
Iodine therapy,H03CA,Thyroid therapy
cinitapride,A03FA08,Drugs for functional gastrointestinal disorders
ritodrine,G02CA01,Other gynecologicals
sevelamer,V03AE02,All other therapeutic products
profenamine,N04AA05,Anti-parkinson drugs
perazine,N05AB10,Psycholeptics
nicotine,N07BA01,Other nervous system drugs
fluorometholone,D10AA01,Anti-acne preparations
cediranib,L01XE32,Antineoplastic agents
betaine hydrochloride,A09AB02,Digestives
clonazepam,N03AE01,Antiepileptics
"reserpine and diuretics, combinations with other drugs",C02LA51,Antihypertensives
technetium (99mTc) millimicrospheres,V09DB03,Diagnostic radiopharmaceuticals
"phenprobamate, combinations with psycholeptics",M03BA71,Muscle relaxants
"Glucocorticoids, Systemic",H02AB,Corticosteroids for systemic use
PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,Sex hormones and modulators of the genital system
"lamivudine, tenofovir disoproxil and doravirine",J05AR24,Antivirals for systemic use
magnesium oxide,A06AD02,Drugs for constipation
betamethasone,D07AC01,Corticosteroids
"Beta blocking agents, antiglaucoma preparations and miotics",S01ED,Ophthalmologicals
alfuzosin,G04CA01,Urologicals
cyfluthrin,P03BA01,Ectoparasiticides
"iron, multivitamins and folic acid",B03AE02,Antianemic preparations
piperidolate,A03AA30,Drugs for functional gastrointestinal disorders
benzocaine,C05AD03,Vasoprotectives
tranylcypromine,N06AF04,Psychoanaleptics
clopidogrel,B01AC04,Antithrombotic agents
potassium gluconate,A12BA05,Mineral supplements
Other antiobesity drugs in ATC,A08AX,Antiobesity preparations
butizide and potassium-sparing agents,C03EA14,Diuretics
Fish,T013,NA
Solutions affecting the electrolyte balance,B05BB,Blood substitutes and perfusion solutions
crataegus glycosides,C01EB04,Cardiac therapy
"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS",L01C,Antineoplastic agents
Blood coagulation factors,B02BD,Antihemorrhagics
lung surfactant combinations,R07AA30,Other respiratory system products
methylpropylpropanediol dinitrate,C01DA04,Cardiac therapy
4-dimethylaminophenol,V03AB27,All other therapeutic products
"Antiallergic inhalants for obstructive airway diseases, excl. corticosteroids",R03BC,Drugs for obstructive airway diseases
VITAMIN K AND OTHER HEMOSTATICS,B02B,Antihemorrhagics
"thiamphenicol, combinations",J01BA52,Antibacterials for systemic use
antazoline,R06AX05,Antihistamines for systemic use
HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,Sex hormones and modulators of the genital system
aloglutamol,A02AB06,Drugs for acid related disorders
leuprorelin,L02AE02,Endocrine therapy
isoconazole,G01AF07,Gynecological antiinfectives and antiseptics
oxypertine,N05AE01,Psycholeptics
histrelin,L02AE05,Endocrine therapy
"Bisquaternary ammonium compounds, ganglion-blocking antiandrenergic",C02BC,Antihypertensives
protamine,V03AB14,All other therapeutic products
PAIN PALLIATION (BONE SEEKING AGENTS),V10B,Therapeutic radiopharmaceuticals
DRUGS FOR CONSTIPATION,A06,Drugs for constipation
ondansetron,A04AA01,Antiemetics and antinauseants
"fructose 1,6-diphosphate",C01EB07,Cardiac therapy
desaspidin,P02DX01,Anthelmintics
chymotrypsin,B06AA04,Other hematological agents
interferon alfacon-1,L03AB09,Immunostimulants
triamcinolone,A01AC01,Stomatological preparations
propenidazole,P01AB05,Antiprotozoals
biperiden,N04AA02,Anti-parkinson drugs
Biologically Active Substance,T123,NA
metoprolol and acetylsalicylic acid,C07FX03,Beta blocking agents
nicotinic acid,C10AD02,Lipid modifying agents
triamcinolone,C05AA12,Vasoprotectives
methoserpidine and diuretics,C02LA04,Antihypertensives
moxonidine and diuretics,C02LC05,Antihypertensives
"lansoprazole, combinations",A02BC53,Drugs for acid related disorders
carbamide,B05BC02,Blood substitutes and perfusion solutions
progesterone and estrogen,G03FA04,Sex hormones and modulators of the genital system
amiodarone,C01BD01,Cardiac therapy
mercury compounds,S01AX01,Ophthalmologicals
First-generation cephalosporins,J01DB,Antibacterials for systemic use
carindacillin,J01CA05,Antibacterials for systemic use
trichlormethiazide and potassium-sparing agents,C03EA02,Diuretics
mycophenolic acid,L04AA06,Immunosuppressants
various other agents for local oral treatment in ATC,A01AD11,Stomatological preparations
sodium aurothiomalate,M01CB01,Anti-inflammatory and antirheumatic products
bermekimab,L01XC29,Antineoplastic agents
PERIPHERAL VASODILATORS,C04,Peripheral vasodilators
reposal,N05CA12,Psycholeptics
"lansoprazole, amoxicillin and metronidazole",A02BD03,Drugs for acid related disorders
oxyphenbutazone,S01BC02,Ophthalmologicals
dimethylcarbate,P03BX05,Ectoparasiticides
ketorolac,S01BC05,Ophthalmologicals
Penicillins with extended spectrum,J01CA,Antibacterials for systemic use
ciprofloxacin,J01MA02,Antibacterials for systemic use
zonisamide,N03AX15,Antiepileptics
"Adamantane derivatives, dopaminergic",N04BB,Anti-parkinson drugs
"Iodine I-125 compounds, cardivascular system diagnostic radiopharmaceuticals",V09GB,Diagnostic radiopharmaceuticals
prednisolone,S01BA04,Ophthalmologicals
Drug Delivery Device,T203,NA
MUSCLE RELAXANTS,M03,Muscle relaxants
interferon alfa natural,L03AB01,Immunostimulants
sulfafurazole,S01AB02,Ophthalmologicals
fluorometholone and antibiotics,D07CB03,Corticosteroids
URINE TEST DRUGS,V04B,Diagnostic agents
zopiclone,N05CF01,Psycholeptics
vitamin D and analog combinations,A11CC20,Vitamins
Meningococcal vaccines,J07AH,Vaccines
"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated",J07AH08,Vaccines
alclofenac,M01AB06,Anti-inflammatory and antirheumatic products
metamfetamine,N06BA03,Psychoanaleptics
"docusate sodium, incl. combinations",A06AG10,Drugs for constipation
xantinol nicotinate,C04AD02,Peripheral vasodilators
"Diagnostic, opthalmologic coloring agents",S01JA,Ophthalmologicals
DRUGS FOR TREATMENT OF BONE DISEASES,M05,Drugs for treatment of bone diseases
ketoconazole,J02AB02,Antimycotics for systemic use
alcuronium,M03AA01,Muscle relaxants
ethanol,D08AX08,Antiseptics and disinfectants
risedronic acid,M05BA07,Drugs for treatment of bone diseases
tetrabenazine,N07XX06,Other nervous system drugs
diphenadione,B01AA10,Antithrombotic agents
potassium acetate,B05XA17,Blood substitutes and perfusion solutions
"feprazone, combinations",M01AX68,Anti-inflammatory and antirheumatic products
fluocinolone acetonide,D07AC04,Corticosteroids
talazoparib,L01XX60,Antineoplastic agents
phenylpropanolamine,R01BA01,Nasal preparations
policresulen,G01AX03,Gynecological antiinfectives and antiseptics
CHEMOTHERAPEUTICS FOR TOPICAL USE,D06B,Antibiotics and chemotherapeutics for dermatological use
ANTIEMETICS AND ANTINAUSEANTS,A04A,Antiemetics and antinauseants
heptaminol,C01DX08,Cardiac therapy
clindamycin,J01FF01,Antibacterials for systemic use
flunitrazepam,N05CD03,Psycholeptics
ketoconazole,G01AF11,Gynecological antiinfectives and antiseptics
dexamethasone,C05AA09,Vasoprotectives
von Willebrand factor and coagulation factor VIII in combination,B02BD06,Antihemorrhagics
opium alkaloids with morphine,R05DA05,Cough and cold preparations
etelcalcetide,H05BX04,Calcium homeostasis
ammonium chloride,B05XA04,Blood substitutes and perfusion solutions
barium sulfate without suspending agents,V08BA02,Contrast media
gemigliptin,A10BH06,Drugs used in diabetes
local anesthetic throat preparations,R02AD,Throat preparations
gefitinib,L01XE02,Antineoplastic agents
tiracizine,C01EB11,Cardiac therapy
abarelix,L02BX01,Endocrine therapy
chlorquinaldol,D08AH02,Antiseptics and disinfectants
eberconazole,D01AC17,Antifungals for dermatological use
chlormidazole,D01AC04,Antifungals for dermatological use
lorcainide,C01BC07,Cardiac therapy
pertussis immunoglobulin,J06BB13,Immune sera and immunoglobulins
OTHER GYNECOLOGICALS in ATC,G02C,Other gynecologicals
demecolcine,L01CC01,Antineoplastic agents
Carbohydrate Sequence,T088,NA
hydroquinidine,C01BA13,Cardiac therapy
sodium chlorite,D03AX11,Preparations for treatment of wounds and ulcers
prifinium bromide,A03AB18,Drugs for functional gastrointestinal disorders
Sympathomimetics in glaucoma therapy,S01EA,Ophthalmologicals
neomycin,A01AB08,Stomatological preparations
teriparatide,H05AA02,Calcium homeostasis
protionamide,J04AD01,Antimycobacterials
atenolol and thiazides,C07BB03,Beta blocking agents
Cod-liver oil ointments,D03AA,Preparations for treatment of wounds and ulcers
levocabastine,R01AC02,Nasal preparations
tripelennamine,D04AA04,Antipruritics
carbon dioxide,V03AN02,All other therapeutic products
dibrompropamidine,S01AX14,Ophthalmologicals
gelatin agents,B05AA06,Blood substitutes and perfusion solutions
lactic acid producing organisms,A07FA01,Antidiarrheals
cetrimonium,D08AJ02,Antiseptics and disinfectants
labetalol and other diuretics,C07CG01,Beta blocking agents
sodium salicylate,N02BA04,Analgesics
dimazole,D01AE17,Antifungals for dermatological use
technetium (99mTc) lidofenin,V09DA03,Diagnostic radiopharmaceuticals
gentamicin,S01AA11,Ophthalmologicals
bromhexine,R05CB02,Cough and cold preparations
tositumomab/iodine (131I) tositumomab,V10XA53,Therapeutic radiopharmaceuticals
Prunus africanae cortex,G04CX01,Urologicals
candesartan and diuretics,C09DA06,Agents acting on the renin–angiotensin system
encorafenib,L01XE46,Antineoplastic agents
iodine ioflupane (123I),V09AB03,Diagnostic radiopharmaceuticals
sulfur,D10AB02,Anti-acne preparations
telithromycin,J01FA15,Antibacterials for systemic use
Human,T016,NA
becaplermin,A01AD08,Stomatological preparations
diltiazem,C08DB01,Calcium channel blockers
ethenzamide,N02BA07,Analgesics
ferrous fumarate,B03AD02,Antianemic preparations
sulfathiazole,J01EB07,Antibacterials for systemic use
ethyl chloride,N01BX01,Anesthetics
Vitamin B-complex with vitamin C,A11EB,Vitamins
diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B,J07CA11,Vaccines
flutamide,L02BB01,Endocrine therapy
calcium gluconate,A12AA03,Mineral supplements
florbetapir (18F),V09AX05,Diagnostic radiopharmaceuticals
