Drug,CHEMBL,ATC
bismuth subcitrate,CHEMBL1201186,A02BX05
"attapulgite, combinations",CHEMBL2108832,A07BC54
trimethyldiphenylpropylamine,CHEMBL3707363,A03AX30
CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,CHEMBL2108943,L01D
"multienzymes (lipase, protease etc.)",CHEMBL1201637,A09AA02
norgestimate and ethinylestradiol,CHEMBL1200934,G03AA11
polidocanol,CHEMBL1231723,C05BB02
buspirone,CHEMBL1200399,N05BE01
temocillin,CHEMBL1276310,J01CA17
Nitroferricyanide derivatives acting on arteriolar smooth muscle,CHEMBL2097081,C02DD
Salt irrigating solutions,CHEMBL1355,B05CB
iodine (131I) human albumin,CHEMBL1201451,V09XA03
"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",CHEMBL218490,S01EC
itramin tosilate,CHEMBL2106780,C01DX01
dapoxetine,CHEMBL2106574,G04BX14
aclidinium bromide,CHEMBL551466,R03BB05
losartan and amlodipine,CHEMBL1200984,C09DB06
magnesium peroxide,CHEMBL3707298,A02AA03
"diprophylline, combinations",CHEMBL1752,R03DA51
Substance,CHEMBL414370,T167
methoxsalen,CHEMBL416,D05BA02
"mercury, metallic",CHEMBL3707388,D08AK05
"Guanine derivatives, peripherally acting antiadrenergic agents",CHEMBL2008565,C02CC
"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",CHEMBL276832,C02D
megestrol,CHEMBL1201139,L02AB01
nicomorphine,CHEMBL2106851,N02AA04
Ethers for general anesthesia,CHEMBL496957,N01AA
technetium (99mTc) mertiatide,CHEMBL2107488,V09CA03
cilazapril,CHEMBL515606,C09AA08
bifonazole,CHEMBL277535,D01AC10
candesartan,CHEMBL1016,C09CA06
sulglicotide,CHEMBL2108085,A02BX08
labetalol and thiazides,CHEMBL429,C07BG01
esketamine,CHEMBL2364609,N01AX14
rhenium (186Re) etidronic acid,CHEMBL871,V10BX03
hemoglobin raffimer,CHEMBL2108963,B05AA09
mirabegron,CHEMBL2095212,G04BD12
"atorvastatin, acetylsalicylic acid and ramipril",CHEMBL1168,C10BX06
urokinase,CHEMBL1201420,B01AD04
Retinoids for treatment of psoriasis,CHEMBL1131,D05BB
multienzymes and acid preparations,CHEMBL1628401,A09AC02
pindolol,CHEMBL500,C07AA03
tridihexethyl,CHEMBL1200771,A03AB08
tioconazole,CHEMBL1200438,D01AC07
Barium sulfate containing X-ray contrast media,CHEMBL2105897,V08BA
valaciclovir,CHEMBL1349,J05AB11
choline fenofibrate,CHEMBL1201745,C10AB11
g-strophanthin,CHEMBL447086,C01AC01
DIAGNOSTIC AGENTS,CHEMBL1615807,V04
"dipyrocetyl, combinations with psycholeptics",CHEMBL1451173,N02BA79
"reserpine and diuretics, combinations with psycholeptics",CHEMBL772,C02LA71
"esomeprazole, amoxicillin and clarithromycin",CHEMBL2146133,A02BD06
methohexital,CHEMBL7413,N05CA15
formestane,CHEMBL1871851,L02BG02
"phenylpropanolamine, combinations",CHEMBL1200695,R01BA51
maribavir,CHEMBL515408,J05AX10
"estradiol, combinations",CHEMBL1511,G03CA53
salbutamol,CHEMBL714,R03AC02
anthrax immunoglobulin,CHEMBL2108573,J06BB19
bevantolol and thiazides,CHEMBL2106060,C07BB06
ethyl hydroxybenzoate,CHEMBL15841,D01AE10
"Tertiary amines, anticholinergic",CHEMBL2105187,N04AA
Low-ceiling diuretics and potassium-sparing agents,CHEMBL585,C03EA
temafloxacin,CHEMBL2107495,J01MA05
nitrofural,CHEMBL869,S01AX04
diphenhydramine,CHEMBL1201089,R06AA02
dofetilide,CHEMBL473,C01BD04
Solutions producing osmotic diuresis,CHEMBL985,B05BC
aurothioglucose,CHEMBL1697725,M01CB04
cholic acid,CHEMBL205596,A05AA03
"glycobiarsol, combinations",CHEMBL1788392,P01AR53
tacrine,CHEMBL95,N06DA01
epinephrine,CHEMBL1256958,A01AD01
ethambutol,CHEMBL44884,J04AK02
lonazolac,CHEMBL1334692,M01AB09
norgestrel and estrogen,CHEMBL2107797,G03FB01
Antacids with sodium bicarbonate,CHEMBL1353,A02AH
levodropropizine,CHEMBL1288810,R05DB27
cloxazolam,CHEMBL2107254,N05BA22
blinatumomab,CHEMBL1742992,L01XC19
OTHER COLD PREPARATIONS in ATC,CHEMBL2108947,R05X
vorozole,CHEMBL1668498,L02BG05
ANABOLIC STEROIDS,CHEMBL2106880,A14A
"Nicotinic acid and derivatives, lipid modifying, plain",CHEMBL1697762,C10AD
sodium borate,CHEMBL3833375,S01AX07
dexetimide,CHEMBL1908364,N04AA08
mitoguazone,CHEMBL216913,L01XX16
estradiol,CHEMBL135,G03CA03
methyltestosterone and estrogen,CHEMBL1395,G03EA01
altretamine,CHEMBL1455,L01XX03
niclosamide,CHEMBL1448,P02DA01
Machine Activity,CHEMBL670,T066
bedaquiline,CHEMBL2105700,J04AK05
Tumor necrosis factor alpha (TNF-) inhibitors,CHEMBL2074849,L04AB
eszopiclone,CHEMBL1522,N05CF04
Sign or Symptom,CHEMBL1200733,T184
"LIPID MODIFYING AGENTS, PLAIN",CHEMBL2364655,C10A
Calcium channel blockers and diuretics,CHEMBL92870,C08GA
Corticosteroids,CHEMBL1200386,S02BA
amino(diphenylhydantoin) valeric acid,CHEMBL3707389,N03AB03
idoxuridine,CHEMBL788,D06BB01
droperidol,CHEMBL1108,N05AD08
"Vitamin B1, plain",CHEMBL1588,A11DA
lormetazepam,CHEMBL22097,N05CD06
propenidazole,CHEMBL1788390,G01AF14
fusidic acid,CHEMBL134350,J01XC01
Chemical,CHEMBL539,T103
propamidine,CHEMBL23013,D08AC03
sulfamethoxazole and trimethoprim,CHEMBL443,J01EE01
picodralazine and diuretics,CHEMBL1968696,C02LG03
megestrol and estrogen,CHEMBL1201139,G03FB04
calcium hexamine thiocyanate,CHEMBL3707448,R01AX01
thiamphenicol,CHEMBL1236282,J01BA02
methylpentynol,CHEMBL501613,N05CM15
ulipristal,CHEMBL2103846,G03XB02
ephedrine,CHEMBL1523964,S01FB02
"varicella, live attenuated",CHEMBL2108020,J07BK01
"Opium alkaloids and derivatives, cough suppressants",CHEMBL2105224,R05DA
oxiconazole,CHEMBL1262,G01AF17
bromocriptine,CHEMBL1255752,G02CB01
dexmedetomidine,CHEMBL2106195,N05CM18
"Imidazole derivatives, antimycotic for systemic use",CHEMBL496957,J02AB
cefotaxime,CHEMBL1010,J01DD01
furazolidone,CHEMBL1103,G01AX06
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,CHEMBL2105945,M09A
chlorotrianisene,CHEMBL1200761,G03CA06
etifoxine,CHEMBL2106227,N05BX03
insulin (pork),CHEMBL1201539,A10AC03
ixazomib,CHEMBL3545432,L01XX50
ibalizumab,CHEMBL1743029,J05AX23
OTHER CARDIAC PREPARATIONS in ATC,CHEMBL3527138,C01E
calcium aminosalicylate,CHEMBL2105983,J04AA03
norethisterone and ethinylestradiol,CHEMBL3187229,G03AB04
palivizumab,CHEMBL1201586,J06BB16
apixaban,CHEMBL231779,B01AF02
calcium iopodate,CHEMBL1200800,V08AC10
calcium chloride,CHEMBL1200668,B05XA07
atorvastatin and amlodipine,CHEMBL1200984,C10BX03
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CHEMBL1201618,H
streptokinase,CHEMBL2108147,B01AD01
"troxerutin, combinations",CHEMBL3182320,C05CA54
sulfamethizole,CHEMBL1191,B05CA04
dienogest and ethinylestradiol,CHEMBL1201864,G03AA16
desloratadine,CHEMBL1172,R06AX27
aminolevulinic acid,CHEMBL1200582,L01XD04
paclitaxel,CHEMBL2108628,L01CD01
prednisolone,CHEMBL131,R01AD02
Peroxide anti-acne preparations for topical use,CHEMBL1200370,D10AE
dexpanthenol,CHEMBL1200979,S01XA12
dibromotyrosine,CHEMBL2204075,H03BX02
darbepoetin alfa,CHEMBL1201566,B03XA02
diiodohydroxypropane,CHEMBL3707258,D08AG04
Cell Component,CHEMBL2106449,T026
"Preparations with salicylic acid derivatives, topical for joint and muscle pain",CHEMBL424,M02AC
codeine and other non-opioid analgesics,CHEMBL1201099,N02AJ09
"Parasympathomimetics, antiglaucoma preparations and miotics",CHEMBL667,S01EB
talinolol,CHEMBL152067,C07AB13
"phenothrin, combinations",CHEMBL1322884,P03AC53
insulin (pork),CHEMBL1201539,A10AE03
thymopentin,CHEMBL156025,L03AX09
Glucocorticoid inhalants for obstructive airway disease,CHEMBL576127,R03BA
nimustine,CHEMBL1256616,L01AD06
"papillomavirus (human types 6, 11, 16, 18)",CHEMBL1201631,J07BM01
OPHTHALMOLOGICALS,CHEMBL1408759,S01
pegloticase,CHEMBL1237025,M04AX02
ciprofloxacin and metronidazole,CHEMBL1077975,J01RA10
nitrofurantoin,CHEMBL572,J01XE01
sodium iothalamate (125I),CHEMBL1097620,V09CX03
benzoctamine,CHEMBL2110603,N05BD01
dutasteride,CHEMBL1200969,G04CB02
aztreonam,CHEMBL158,J01DF01
sertraline,CHEMBL809,N06AB06
afamelanotide,CHEMBL4297213,D02BB02
PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,CHEMBL2108183,D03
"streptomycin, combinations",CHEMBL1201194,A07AA54
alemtuzumab,CHEMBL1201587,L04AA34
diclofenamide,CHEMBL17,S01EC02
mesna,CHEMBL975,R05CB05
phentolamine,CHEMBL1200873,V03AB36
ferrous carbonate,CHEMBL3707336,B03AA04
ascorbic acid,CHEMBL196,S01XA15
benzylpenicillin,CHEMBL1628385,S01AA14
periciazine,CHEMBL251940,N05AC01
Other central nervous system diagnostic radiopharmaceuticals in ATC,CHEMBL2109038,V09AX
fexapotide,CHEMBL3545061,G04CX04
neomycin,CHEMBL3989751,J01GB05
benzoxonium chloride,CHEMBL2104255,D08AJ05
Serotonin antagonists and diuretics,CHEMBL2238166,C02LN
bevonium and analgesics,CHEMBL1882461,A03DA03
rosiglitazone,CHEMBL121,A10BG02
vinyl ether,CHEMBL2105883,N01AA02
erythromycin,CHEMBL1200506,S01AA17
domiodol,CHEMBL2106471,R05CB08
fosfestrol,CHEMBL1200598,L02AA04
betamethasone and mydriatics,CHEMBL1697784,S01BB04
Other aminoglycosides in ATC,CHEMBL3527138,J01GB
oleandomycin,CHEMBL2105788,J01FA05
sisomicin,CHEMBL3989471,J01GB08
capsaicin,CHEMBL294199,N01BX04
Mucolytics,CHEMBL459048,R05CB
gonadorelin,CHEMBL1200511,H01CA01
guanethidine,CHEMBL1345,C02CC02
fenpiverinium,CHEMBL1884833,A03AB21
tazarotene,CHEMBL1657,D05AX05
prazosin,CHEMBL2,C02CA01
"folic acid, combinations",CHEMBL1622,B03BB51
butylscopolamine,CHEMBL1618102,A03BB01
Plant,CHEMBL450449,T002
migalastat,CHEMBL2107355,A16AX14
fat emulsions,CHEMBL2108408,B05BA02
moroxydine,CHEMBL1490434,J05AX01
corifollitropin alfa,CHEMBL2108185,G03GA09
dextrothyroxine,CHEMBL3545058,C10AX01
"ACE INHIBITORS, COMBINATIONS",CHEMBL317094,C09B
Iron in combination with folic acid,CHEMBL319156,B03AD
IMMUNE SERA SYSTEMIC ANTIINFECTIVES,CHEMBL2108417,J06A
cefprozil,CHEMBL3301800,J01DC10
fluocortolone and antiseptics,CHEMBL2107415,D07BC03
Other antipsoriatics for topical use in ATC,CHEMBL503160,D05AX
technetium (99mTc) pentavalent succimer,CHEMBL1200797,V09IA03
"Xanthine derivatives, low-ceiling diuretics",CHEMBL191886,C03BD
deferiprone,CHEMBL70927,V03AC02
cyclizine,CHEMBL648,R06AE03
Other hem products in ATC,CHEMBL3527138,B06AB
"lactic acid producing organisms, combinations",CHEMBL1200559,A07FA51
ALL OTHER NON-THERAPEUTIC PRODUCTS,CHEMBL415284,V07
thioctic acid,CHEMBL1234071,A16AX01
metoprolol and amlodipine,CHEMBL1200984,C07FB13
flumetasone,CHEMBL1201392,D07XB01
gliquidone,CHEMBL383634,A10BB08
Aminosalicylic acid and similar agents,CHEMBL1169,A07EC
dexamethasone,CHEMBL384467,D07AB19
flumetasone,CHEMBL1201392,D07AB03
magnesium pidolate,CHEMBL3707303,A12CC08
halazepam,CHEMBL970,N05BA13
Tetracyclines,CHEMBL454950,J01AA
rolapitant,CHEMBL3707330,A04AD14
Phenomenon or Process,CHEMBL3645269,T067
doxazosin,CHEMBL1200561,C02CA04
imiglucerase,CHEMBL1201632,A16AB02
clofenamide and potassium,CHEMBL3989462,C03BB07
interferon,CHEMBL2108494,S01AD05
"hepatitis A, inactivated, whole virus",CHEMBL2109163,J07BC02
Other antidiarrheals in ATC,CHEMBL3527138,A07XA
cloprednol,CHEMBL1697832,H02AB14
drotaverine,CHEMBL551978,A03AD02
fumagillin,CHEMBL1522710,P01AX10
amphotericin B,CHEMBL267345,A07AA07
"ethenzamide, combinations excl. psycholeptics",CHEMBL1483877,N02BA57
linaclotide,CHEMBL3301675,A06AX04
scopolamine,CHEMBL1256744,A04AD01
amphotericin B,CHEMBL267345,G01AA03
ambenonium,CHEMBL1200541,N07AA30
fluoxetine,CHEMBL1201082,N06AB03
methyldopa (racemic),CHEMBL459,C02AB02
"bismuth preparations, combinations",CHEMBL1201186,C05AX02
"calcipotriol, combinations",CHEMBL1234231,D05AX52
"Alkaloids, excl. rauwolfia, antihypertensives",CHEMBL1201531,C02KA
metformin and linagliptin,CHEMBL1431,A10BD11
mesuximide,CHEMBL697,N03AD03
cyclopenthiazide,CHEMBL1373254,C03AA07
bisacodyl,CHEMBL942,A06AB02
magnesium (different salts in combination),CHEMBL2108692,A12CC30
reboxetine,CHEMBL2146087,N06AX18
technetium (99mTc) arcitumomab,CHEMBL1743090,V09IA06
butriptyline,CHEMBL2110816,N06AA15
metformin and vildagliptin,CHEMBL1431,A10BD08
Antibiotics for systemic use,CHEMBL496957,J02AA
clofoctol,CHEMBL1476605,J01XX03
glucose,CHEMBL1222250,V04CA02
Virus,CHEMBL2109042,T005
benzathine benzylpenicillin,CHEMBL4303648,J01CE08
Iodine therapy,CHEMBL1201225,H03CA
cinitapride,CHEMBL2104523,A03FA08
ritodrine,CHEMBL1367605,G02CA01
sevelamer,CHEMBL1201798,V03AE02
profenamine,CHEMBL1494883,N04AA05
perazine,CHEMBL1697766,N05AB10
nicotine,CHEMBL3,N07BA01
fluorometholone,CHEMBL1200600,D10AA01
cediranib,CHEMBL491473,L01XE32
betaine hydrochloride,CHEMBL1201130,A09AB02
clonazepam,CHEMBL452,N03AE01
"reserpine and diuretics, combinations with other drugs",CHEMBL772,C02LA51
technetium (99mTc) millimicrospheres,CHEMBL1201524,V09DB03
"phenprobamate, combinations with psycholeptics",CHEMBL1079576,M03BA71
"Glucocorticoids, Systemic",CHEMBL2105359,H02AB
PROGESTOGENS AND ESTROGENS IN COMBINATION,CHEMBL1201468,G03F
"lamivudine, tenofovir disoproxil and doravirine",CHEMBL1486,J05AR24
magnesium oxide,CHEMBL1200572,A06AD02
betamethasone,CHEMBL1697784,D07AC01
"Beta blocking agents, antiglaucoma preparations and miotics",CHEMBL839,S01ED
alfuzosin,CHEMBL1723,G04CA01
cyfluthrin,CHEMBL2104608,P03BA01
"iron, multivitamins and folic acid",CHEMBL2447909,B03AE02
piperidolate,CHEMBL1623992,A03AA30
benzocaine,CHEMBL278172,C05AD03
tranylcypromine,CHEMBL1255743,N06AF04
clopidogrel,CHEMBL1771,B01AC04
potassium gluconate,CHEMBL2106978,A12BA05
Other antiobesity drugs in ATC,CHEMBL3527138,A08AX
butizide and potassium-sparing agents,CHEMBL3989462,C03EA14
Fish,CHEMBL3833369,T013
Solutions affecting the electrolyte balance,CHEMBL3544774,B05BB
crataegus glycosides,CHEMBL498983,C01EB04
"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS",CHEMBL450449,L01C
Blood coagulation factors,CHEMBL2108282,B02BD
lung surfactant combinations,CHEMBL1200737,R07AA30
methylpropylpropanediol dinitrate,CHEMBL3707209,C01DA04
4-dimethylaminophenol,CHEMBL3707216,V03AB27
"Antiallergic inhalants for obstructive airway diseases, excl. corticosteroids",CHEMBL746,R03BC
VITAMIN K AND OTHER HEMOSTATICS,CHEMBL1201519,B02B
"thiamphenicol, combinations",CHEMBL1236282,J01BA52
antazoline,CHEMBL1200550,R06AX05
HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,CHEMBL496957,G03A
aloglutamol,CHEMBL3707299,A02AB06
leuprorelin,CHEMBL1201199,L02AE02
isoconazole,CHEMBL1571863,G01AF07
oxypertine,CHEMBL2107011,N05AE01
histrelin,CHEMBL1201255,L02AE05
"Bisquaternary ammonium compounds, ganglion-blocking antiandrenergic",CHEMBL3544727,C02BC
protamine,CHEMBL1201651,V03AB14
PAIN PALLIATION (BONE SEEKING AGENTS),CHEMBL1206690,V10B
DRUGS FOR CONSTIPATION,CHEMBL496957,A06
ondansetron,CHEMBL3186492,A04AA01
"fructose 1,6-diphosphate",CHEMBL1089962,C01EB07
desaspidin,CHEMBL2105606,P02DX01
chymotrypsin,CHEMBL1201465,B06AA04
interferon alfacon-1,CHEMBL1201557,L03AB09
triamcinolone,CHEMBL1200449,A01AC01
propenidazole,CHEMBL1788390,P01AB05
biperiden,CHEMBL1201067,N04AA02
Biologically Active Substance,CHEMBL414370,T123
metoprolol and acetylsalicylic acid,CHEMBL2356097,C07FX03
nicotinic acid,CHEMBL573,C10AD02
triamcinolone,CHEMBL1200449,C05AA12
methoserpidine and diuretics,CHEMBL3989541,C02LA04
moxonidine and diuretics,CHEMBL19236,C02LC05
"lansoprazole, combinations",CHEMBL480,A02BC53
carbamide,CHEMBL383698,B05BC02
progesterone and estrogen,CHEMBL2447915,G03FA04
amiodarone,CHEMBL633,C01BD01
mercury compounds,CHEMBL3707230,S01AX01
First-generation cephalosporins,CHEMBL1697829,J01DB
carindacillin,CHEMBL1596,J01CA05
trichlormethiazide and potassium-sparing agents,CHEMBL3989462,C03EA02
mycophenolic acid,CHEMBL866,L04AA06
various other agents for local oral treatment in ATC,CHEMBL496957,A01AD11
sodium aurothiomalate,CHEMBL306043,M01CB01
bermekimab,CHEMBL2109653,L01XC29
PERIPHERAL VASODILATORS,CHEMBL188921,C04
reposal,CHEMBL505851,N05CA12
"lansoprazole, amoxicillin and metronidazole",CHEMBL480,A02BD03
oxyphenbutazone,CHEMBL3989676,S01BC02
dimethylcarbate,CHEMBL177591,P03BX05
ketorolac,CHEMBL1201124,S01BC05
Penicillins with extended spectrum,CHEMBL702,J01CA
ciprofloxacin,CHEMBL8,J01MA02
zonisamide,CHEMBL750,N03AX15
"Adamantane derivatives, dopaminergic",CHEMBL660,N04BB
"Iodine I-125 compounds, cardivascular system diagnostic radiopharmaceuticals",CHEMBL1201453,V09GB
prednisolone,CHEMBL131,S01BA04
Drug Delivery Device,CHEMBL157030,T203
MUSCLE RELAXANTS,CHEMBL1201117,M03
interferon alfa natural,CHEMBL2108506,L03AB01
sulfafurazole,CHEMBL453,S01AB02
fluorometholone and antibiotics,CHEMBL1200600,D07CB03
URINE TEST DRUGS,CHEMBL2108771,V04B
zopiclone,CHEMBL135400,N05CF01
vitamin D and analog combinations,CHEMBL169221,A11CC20
Meningococcal vaccines,CHEMBL2108795,J07AH
"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated",CHEMBL2108795,J07AH08
alclofenac,CHEMBL94081,M01AB06
metamfetamine,CHEMBL1201201,N06BA03
"docusate sodium, incl. combinations",CHEMBL1905872,A06AG10
xantinol nicotinate,CHEMBL1624126,C04AD02
"Diagnostic, opthalmologic coloring agents",CHEMBL1615807,S01JA
DRUGS FOR TREATMENT OF BONE DISEASES,CHEMBL12318,M05
ketoconazole,CHEMBL75,J02AB02
alcuronium,CHEMBL3188339,M03AA01
ethanol,CHEMBL545,D08AX08
risedronic acid,CHEMBL4303174,M05BA07
tetrabenazine,CHEMBL117785,N07XX06
diphenadione,CHEMBL1413199,B01AA10
potassium acetate,CHEMBL1201058,B05XA17
"feprazone, combinations",CHEMBL1452696,M01AX68
fluocinolone acetonide,CHEMBL989,D07AC04
talazoparib,CHEMBL3137320,L01XX60
phenylpropanolamine,CHEMBL1200695,R01BA01
policresulen,CHEMBL2106937,G01AX03
CHEMOTHERAPEUTICS FOR TOPICAL USE,CHEMBL2108694,D06B
ANTIEMETICS AND ANTINAUSEANTS,CHEMBL1672054,A04A
heptaminol,CHEMBL2111076,C01DX08
clindamycin,CHEMBL1200588,J01FF01
flunitrazepam,CHEMBL13280,N05CD03
ketoconazole,CHEMBL75,G01AF11
dexamethasone,CHEMBL384467,C05AA09
von Willebrand factor and coagulation factor VIII in combination,CHEMBL4298129,B02BD06
opium alkaloids with morphine,CHEMBL2107914,R05DA05
etelcalcetide,CHEMBL3545184,H05BX04
ammonium chloride,CHEMBL1200939,B05XA04
barium sulfate without suspending agents,CHEMBL2105897,V08BA02
gemigliptin,CHEMBL3707235,A10BH06
local anesthetic throat preparations,CHEMBL1201217,R02AD
gefitinib,CHEMBL939,L01XE02
tiracizine,CHEMBL1590144,C01EB11
abarelix,CHEMBL1252,L02BX01
chlorquinaldol,CHEMBL224325,D08AH02
eberconazole,CHEMBL558722,D01AC17
chlormidazole,CHEMBL152649,D01AC04
lorcainide,CHEMBL87543,C01BC07
pertussis immunoglobulin,CHEMBL2109219,J06BB13
OTHER GYNECOLOGICALS in ATC,CHEMBL3527138,G02C
demecolcine,CHEMBL433632,L01CC01
Carbohydrate Sequence,CHEMBL320894,T088
hydroquinidine,CHEMBL1906890,C01BA13
sodium chlorite,CHEMBL93268,D03AX11
prifinium bromide,CHEMBL1213353,A03AB18
Sympathomimetics in glaucoma therapy,CHEMBL1201262,S01EA
neomycin,CHEMBL3989751,A01AB08
teriparatide,CHEMBL1201549,H05AA02
protionamide,CHEMBL1378024,J04AD01
atenolol and thiazides,CHEMBL24,C07BB03
Cod-liver oil ointments,CHEMBL2108234,D03AA
levocabastine,CHEMBL1615438,R01AC02
tripelennamine,CHEMBL1200446,D04AA04
carbon dioxide,CHEMBL1231871,V03AN02
dibrompropamidine,CHEMBL30044,S01AX14
gelatin agents,CHEMBL2108518,B05AA06
lactic acid producing organisms,CHEMBL1200559,A07FA01
cetrimonium,CHEMBL1183605,D08AJ02
labetalol and other diuretics,CHEMBL429,C07CG01
sodium salicylate,CHEMBL447868,N02BA04
dimazole,CHEMBL1184360,D01AE17
technetium (99mTc) lidofenin,CHEMBL1200663,V09DA03
gentamicin,CHEMBL194126,S01AA11
bromhexine,CHEMBL253376,R05CB02
tositumomab/iodine (131I) tositumomab,CHEMBL3833304,V10XA53
Prunus africanae cortex,CHEMBL1670,G04CX01
candesartan and diuretics,CHEMBL1016,C09DA06
encorafenib,CHEMBL3301612,L01XE46
iodine ioflupane (123I),CHEMBL1909276,V09AB03
sulfur,CHEMBL2105487,D10AB02
telithromycin,CHEMBL1136,J01FA15
Human,CHEMBL1201631,T016
becaplermin,CHEMBL1201556,A01AD08
diltiazem,CHEMBL23,C08DB01
ethenzamide,CHEMBL1483877,N02BA07
ferrous fumarate,CHEMBL1200640,B03AD02
sulfathiazole,CHEMBL437,J01EB07
ethyl chloride,CHEMBL46058,N01BX01
Vitamin B-complex with vitamin C,CHEMBL2108015,A11EB
diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B,CHEMBL4297977,J07CA11
flutamide,CHEMBL806,L02BB01
calcium gluconate,CHEMBL2106119,A12AA03
florbetapir (18F),CHEMBL1774461,V09AX05
diphtheria antitoxin,CHEMBL2108417,J06AA01
lidocaine,CHEMBL1200409,N01BB02
enzalutamide,CHEMBL1082407,L02BB04
nifurtimox,CHEMBL290960,P01CC01
mesalazine,CHEMBL704,A07EC02
sodium benzoate,CHEMBL1356,A16AX11
acetylcysteine,CHEMBL600,S01XA08
diethylstilbestrol,CHEMBL411,L02AA01
ibacitabine,CHEMBL2104340,D06BB08
calcium lactate gluconate,CHEMBL3707385,A12AA06
Other ophthalmologicals in ATC,CHEMBL3527138,S01XA
"bucetin, combinations with psycholeptics",CHEMBL1697856,N02BE74
brucella antigen,CHEMBL2107987,J07AD01
"acetylsalicylic acid, combinations excl. psycholeptics",CHEMBL2429949,N02BA51
tipranavir,CHEMBL2103936,J05AE09
calcipotriol,CHEMBL1234231,D05AX02
tolazamide,CHEMBL817,A10BB05
Third-generation cephalosporins,CHEMBL927,J01DD
Diphenylpropylamine derivative analgesics,CHEMBL1049,N02AC
"Tetracycline and derivatives, topical antibiotics",CHEMBL454950,D06AA
framycetin,CHEMBL184618,R01AX08
digitoxin,CHEMBL254219,C01AA04
amlexanox,CHEMBL1096,R03DX01
butobarbital,CHEMBL404422,N05CA03
